Common_Name,Scientific_Name
Western rock nuthatch,Sitta neumayer
Western rosella,Platycercus icterotis
Western sandpiper,Calidris mauri
Western screech owl,Megascops kennicottii
Western sirystes,Sirystes albogriseus
Western spindalis,Spindalis zena
Western spinebill,Acanthorhynchus superciliosus
Western striolated puffbird,Nystalus obamai
Western subalpine warbler,Curruca iberiae
Western swamphen,Porphyrio porphyrio
Western tanager,Piranga ludoviciana
Western thornbill,Acanthiza inornata
Western tinkerbird,Pogoniulus coryphaea
Western tragopan,Tragopan melanocephalus
Western violet-backed sunbird,Anthreptes longuemarei
Western wattlebird,Anthochaera lunulata
Western wattled cuckooshrike,Lobotos lobatus
Western whistler,Pachycephala fuliginosa
Western wood pewee,Contopus sordidulus
Western woodhaunter,Automolus virgatus
Western yellow robin,Eopsaltria griseogularis
Western yellow wagtail,Motacilla flava
Westland petrel,Procellaria westlandica
Wetar figbird,Sphecotheres hypoleucus
Wetar ground dove,Pampusana hoedtii
Wetar ground dove,Alopecoenas hoedtii
Wetar myzomela,Myzomela kuehni
Wetar oriole,Oriolus finschi
Whenua Hou diving petrel,Pelecanoides georgicus whenuahouensis
Whinchat,Saxicola rubetra
Whiskered auklet,Aethia pygmaea
Whiskered flowerpecker,Dicaeum proprium
Whiskered myiobius,Myiobius barbatus
Whiskered pitta,Erythropitta kochi
Whiskered screech owl,Megascops trichopsis
Whiskered tern,Chlidonias hybrida
Whiskered treeswift,Hemiprocne comata
Whiskered wren,Pheugopedius mystacalis
Whiskered yuhina,Yuhina flavicollis
Whistler's warbler,Phylloscopus whistleri
Whistling cisticola,Cisticola lateralis
Whistling fruit dove,Ptilinopus layardi
Whistling heron,Syrigma sibilatrix
Whistling kite,Haliastur sphenurus
Whistling warbler,Catharopeza bishopi
White bellbird,Procnias albus
White cockatoo,Cacatua alba
White eared pheasant,Crossoptilon crossoptilon
White hawk,Pseudastur albicollis
White monjita,Xolmis irupero
White stork,Ciconia ciconia
White swamphen,Porphyrio albus
White tern,Gygis alba
White wagtail,Motacilla alba
White woodpecker,Melanerpes candidus
White's thrush,Zoothera aurea
White-backed black tit,Melaniparus leuconotus
White-backed duck,Thalassornis leuconotus
White-backed mousebird,Colius colius
White-backed night heron,Calherodius leuconotus
White-backed stilt,Himantopus melanurus
White-backed swallow,Cheramoeca leucosterna
White-backed thrush,Turdus kessleri
White-backed vulture,Gyps africanus
White-backed woodpecker,Dendrocopos leucotos
White-backed woodswallow,Artamus insignis
White-banded mockingbird,Mimus triurus
White-banded swallow,Atticora fasciata
White-banded tyrannulet,Mecocerculus stictopterus
White-barred piculet,Picumnus cirratus
White-bearded antshrike,Biatas nigropectus
White-bearded flycatcher,Phelpsia inornata
White-bearded greenbul,Criniger ndussumensis
White-bearded helmetcrest,Oxypogon lindenii
White-bearded hermit,Phaethornis hispidus
White-bearded manakin,Manacus manacus
White-bellied antbird,Myrmeciza longipes
White-bellied antpitta,Grallaria hypoleuca
White-bellied blue flycatcher,Cyornis pallidipes
White-bellied blue robin,Sholicola albiventris
White-bellied bush chat,Saxicola gutturalis
White-bellied bustard,Eupodotis senegalensis
White-bellied canary,Crithagra dorsostriata
White-bellied chachalaca,Ortalis leucogastra
White-bellied cinclodes,Cinclodes palliatus
White-bellied crested flycatcher,Elminia albiventris
White-bellied cuckooshrike,Coracina papuensis
White-bellied dacnis,Dacnis albiventris
White-bellied drongo,Dicrurus caerulescens
White-bellied emerald,Chlorestes candida
White-bellied erpornis,Erpornis zantholeuca
White-bellied fantail,Rhipidura euryura
White-bellied go-away-bird,Corythaixoides leucogaster
White-bellied go-away-bird,Crinifer leucogaster
White-bellied goshawk,Accipiter haplochrous
White-bellied green pigeon,Treron sieboldii
White-bellied heron,Ardea insignis
White-bellied honeyeater,Glycifohia notabilis
White-bellied honeyeater,Gliciphila notabilis
White-bellied hummingbird,Elliotomyia chionogaster
White-bellied imperial pigeon,Ducula forsteni
White-bellied kingfisher,Corythornis leucogaster
White-bellied minivet,Pericrocotus erythropygius
White-bellied mountaingem,Lampornis hemileucus
White-bellied munia,Lonchura leucogastra
White-bellied nothura,Nothura boraquira
White-bellied parrot,Pionites leucogaster
White-bellied piculet,Picumnus spilogaster
White-bellied pitohui,Pseudorectes incertus
White-bellied pygmy tyrant,Myiornis albiventris
White-bellied redstart,Luscinia phaenicuroides
White-bellied robin-chat,Cossyphicula roberti
White-bellied sea eagle,Icthyophaga leucogaster
White-bellied sea eagle,Haliaeetus leucogaster
White-bellied seedeater,Sporophila leucoptera
White-bellied seedsnipe,Attagis malouinus
White-bellied spinetail,Mazaria propinqua
White-bellied storm petrel,Fregetta grallaria
White-bellied sunbird,Cinnyris talatala
White-bellied thicket fantail,Rhipidura leucothorax
White-bellied tit,Melaniparus albiventris
White-bellied tody-tyrant,Hemitriccus griseipectus
White-bellied treepie,Dendrocitta leucogastra
White-bellied whipbird,Psophodes leucogaster
White-bellied whistler,Pachycephala leucogastra
White-bellied woodpecker,Dryocopus javensis
White-bellied woodstar,Chaetocercus mulsant
White-bellied wren,Uropsila leucogastra
White-bibbed antbird,Myrmoderus loricatus
White-bibbed babbler,Stachyris thoracica
White-bibbed fruit dove,Ptilinopus rivoli
White-bibbed manakin,Corapipo leucorrhoa
White-bibbed swallow,Hirundo nigrita
White-billed buffalo weaver,Bubalornis albirostris
White-billed buffalo weaver,B. albirostris
White-billed buffalo weaver,Ploceus weynsi
White-billed crow,Corvus woodfordi
White-billed starling,Onychognathus albirostris
White-booted racket-tail,Ocreatus underwoodii
White-breasted antbird,Rhegmatorhina hoffmannsi
White-breasted babbler,Stachyris grammiceps
White-breasted cormorant,Phalacrocorax lucidus
White-breasted cuckooshrike,Ceblepyris pectoralis
White-breasted ground dove,Pampusana jobiensis
White-breasted ground dove,Alopecoenas jobiensis
White-breasted guineafowl,Agelastes meleagrides
White-breasted hawk,Accipiter chionogaster
White-breasted mesite,Mesitornis variegatus
White-breasted nigrita,Nigrita fusconotus
White-breasted nuthatch,Sitta carolinensis
White-breasted parakeet,Pyrrhura albipectus
White-breasted parrotbill,Paradoxornis ruficeps
White-breasted robin,Eopsaltria georgiana
White-breasted tapaculo,Eleoscytalopus indigoticus
White-breasted thrasher,Ramphocinclus brachyurus
White-breasted waterhen,Amaurornis phoenicurus
White-breasted whistler,Pachycephala lanioides
White-breasted wood wren,Henicorhina leucosticta
White-breasted woodswallow,Artamus leucorynchus
White-bridled finch,Melanodera melanodera
White-browed antbird,Myrmoborus leucophrys
White-browed antpitta,Hylopezus ochroleucus
White-browed babbler,Pomatostomus superciliosus
White-browed brushfinch,Arremon torquatus
White-browed bulbul,Pycnonotus luteolus
White-browed bush chat,Saxicola macrorhynchus
White-browed bush robin,Tarsiger indicus
White-browed chat-tyrant,Ochthoeca leucophrys
White-browed conebill,Conirostrum ferrugineiventre
White-browed coucal,Centropus superciliosus
White-browed crake,Poliolimnas cinereus
White-browed crombec,Sylvietta leucophrys
White-browed fantail,Rhipidura aureola
White-browed foliage-gleaner,Anabacerthia amaurotis
White-browed forest flycatcher,Fraseria cinerascens
White-browed fulvetta,Fulvetta vinipectus
White-browed ground tyrant,Muscisaxicola albilora
White-browed guan,Penelope jacucaca
White-browed hawk,Leucopternis kuhli
White-browed hemispingus,Kleinothraupis auricularis
White-browed hermit,Phaethornis stuarti
White-browed jungle flycatcher,Vauriella insignis
White-browed laughingthrush,Pterorhinus sannio
White-browed meadowlark,Leistes superciliaris
White-browed nuthatch,Sitta victoriae
White-browed owl,Athene superciliaris
White-browed piculet,Sasia ochracea
White-browed purpletuft,Iodopleura isabellae
White-browed robin,Poecilodryas superciliosa
White-browed robin-chat,Cossypha heuglini
White-browed scimitar babbler,Pomatorhinus schisticeps
White-browed scrub robin,Cercotrichas leucophrys
White-browed scrubwren,Sericornis frontalis
White-browed shama,Copsychus luzoniensis
White-browed sparrow-weaver,Ploceus weynsi
White-browed sparrow-weaver,Plocepasser mahali
White-browed sparrow-weaver,P. mahali
White-browed spinetail,Hellmayrea gularis
White-browed tapaculo,Scytalopus superciliaris
White-browed tit,Poecile superciliosus
White-browed tit-spinetail,Leptasthenura xenothorax
White-browed tit-warbler,Leptopoecile sophiae
White-browed treecreeper,Climacteris affinis
White-browed triller,Lalage moesta
White-browed wagtail,Motacilla maderaspatensis
White-browed woodswallow,Artamus superciliosus
White-capped bunting,Emberiza stewarti
White-capped dipper,Cinclus leucocephalus
White-capped fruit dove,Ptilinopus dupetithouarsii
White-capped monarch,Monarcha richardsii
White-capped munia,Lonchura ferruginosa
White-capped parrot,Pionus seniloides
White-capped redstart,Phoenicurus leucocephalus
White-capped tanager,Sericossypha albocristata
White-cheeked antbird,Gymnopithys leucaspis
White-cheeked barbet,Psilopogon viridis
White-cheeked bullfinch,Pyrrhula leucogenis
White-cheeked bushtit,Aegithalos leucogenys
White-cheeked cotinga,Zaratornis stresemanni
White-cheeked honeyeater,Phylidonyris niger
White-cheeked laughingthrush,Pterorhinus vassali
White-cheeked nuthatch,Sitta leucopsis
White-cheeked partridge,Arborophila atrogularis
White-cheeked pintail,Anas bahamensis
White-cheeked starling,Spodiopsar cineraceus
White-cheeked tern,Sterna repressa
White-cheeked tody-flycatcher,Poecilotriccus albifacies
White-cheeked turaco,Tauraco leucotis
White-cheeked turaco,Menelikornis leucotis
White-chested alethe,Chamaetylas fuelleborni
White-chested emerald,Chrysuronia brevirostris
White-chested puffbird,Malacoptila fusca
White-chested swift,Cypseloides lemosi
White-chested white-eye,Zosterops albogularis
White-chinned jacamar,Galbula tombacea
White-chinned myzomela,Myzomela albigula
White-chinned petrel,Procellaria aequinoctialis
White-chinned prinia,Schistolais leucopogon
White-chinned sapphire,Chlorestes cyanus
White-chinned swift,Cypseloides cryptus
White-chinned thistletail,Asthenes fuliginosa
White-chinned thrush,Turdus aurantius
White-chinned woodcreeper,Dendrocincla merula
White-collared blackbird,Turdus albocinctus
White-collared foliage-gleaner,Anabazenops fuscus
White-collared jay,Cyanolyca viridicyanus
White-collared kite,Leptodon forbesi
White-collared manakin,Manacus candei
White-collared monarch,Symposiachrus vidua
White-collared oliveback,Nesocharis ansorgei
White-collared pigeon,Columba albitorques
White-collared starling,Grafisia torquata
White-collared swift,Streptoprocne zonaris
White-collared yuhina,Parayuhina diademata
White-crested coquette,Lophornis adorabilis
White-crested elaenia,Elaenia albiceps
White-crested guan,Penelope pileata
White-crested helmetshrike,Prionops plumatus
White-crested laughingthrush,Garrulax leucolophus
White-crested spadebill,Platyrinchus platyrhynchos
White-crested tiger heron,Tigriornis leucolopha
White-crested turaco,Tauraco leucolophus
White-crested tyrannulet,Serpophaga subcristata
White-crowned cliff chat,Thamnolaea coronata
White-crowned cuckoo,Cacomantis leucolophus
White-crowned forktail,Enicurus leschenaulti
White-crowned hornbill,Berenicornis comatus
White-crowned lapwing,Vanellus albiceps
White-crowned manakin,Pseudopipra pipra
White-crowned parrot,Pionus senilis
White-crowned penduline tit,Remiz coronatus
White-crowned pigeon,Patagioenas leucocephala
White-crowned robin-chat,Cossypha albicapillus
White-crowned shama,Copsychus stricklandii
White-crowned sparrow,Zonotrichia leucophrys
White-crowned starling,Lamprotornis albicapillus
White-crowned tapaculo,Scytalopus atratus
White-crowned wheatear,Oenanthe leucopyga
White-eared barbet,Stactolaema leucotis
White-eared bronze cuckoo,Chrysococcyx meyerii
White-eared brown dove,Phapitreron leucotis
White-eared bulbul,Pycnonotus leucotis
White-eared catbird,Ailuroedus buccoides
White-eared conebill,Conirostrum leucogenys
White-eared ground sparrow,Melozone leucotis
White-eared honeyeater,Nesoptilotis leucotis
White-eared hummingbird,Basilinna leucotis
White-eared jacamar,Galbalcyrhynchus leucotis
White-eared monarch,Carterornis leucotis
White-eared myza,Myza sarasinorum
White-eared night heron,Oroanassa magnifica
White-eared parakeet,Pyrrhura leucotis
White-eared puffbird,Nystalus chacuru
White-eared sibia,Heterophasia auricularis
White-eared solitaire,Entomodestes leucotis
White-eared tailorbird,Orthotomus cinereiceps
White-edged oriole,Icterus graceannae
White-eyed attila,Attila bolivianus
White-eyed buzzard,Butastur teesa
White-eyed foliage-gleaner,Automolus leucophthalmus
White-eyed gull,Ichthyaetus leucophthalmus
White-eyed parakeet,Psittacara leucophthalmus
White-eyed river martin,Pseudochelidon sirintarae
White-eyed robin,Pachycephalopsis poliosoma
White-eyed slaty flycatcher,Melaenornis fischeri
White-eyed starling,Aplonis brunneicapillus
White-eyed stipplethroat,Epinecrophylla leucophthalma
White-eyed thrush,Turdus jamaicensis
White-eyed tody-tyrant,Hemitriccus zosterops
White-eyed vireo,Vireo griseus
White-faced barbet,Lybius minor
White-faced cuckoo-dove,Turacoena manadensis
White-faced heron,Egretta novaehollandiae
White-faced ibis,Plegadis chihi
White-faced nunbird,Hapaloptila castanea
White-faced plover,Charadrius dealbatus
White-faced plover,Anarhynchus dealbatus
White-faced quail-dove,Zentrygon albifacies
White-faced robin,Tregellasia leucops
White-faced starling,Sturnornis albofrontatus
White-faced storm petrel,Pelagodroma marina
White-faced whistling duck,Dendrocygna viduata
White-faced whitestart,Myioborus albifacies
White-flanked antwren,Myrmotherula axillaris
White-flanked sunbird,Aethopyga eximia
White-fronted amazon,Amazona albifrons
White-fronted bee-eater,Merops bullockoides
White-fronted black chat,Oenanthe albifrons
White-fronted chat,Epthianura albifrons
White-fronted falconet,Microhierax latifrons
White-fronted ground dove,Alopecoenas kubaryi
White-fronted ground dove,Pampusana kubaryi
White-fronted ground tyrant,Muscisaxicola albifrons
White-fronted honeyeater,Purnella albifrons
White-fronted manakin,Lepidothrix serena
White-fronted nunbird,Monasa morphoeus
White-fronted plover,Charadrius marginatus
White-fronted quail-dove,Geotrygon leucometopia
White-fronted scops owl,Otus sagittatus
White-fronted swift,Cypseloides storeri
White-fronted tern,Sterna striata
White-fronted tit,Sittiparus semilarvatus
White-fronted tyrannulet,Phyllomyias zeledoni
White-fronted wattle-eye,Platysteira albifrons
White-fronted whitestart,Myioborus albifrons
White-fronted woodpecker,Melanerpes cactorum
White-gaped honeyeater,Stomiopera unicolor
White-gorgeted flycatcher,Anthipes monileger
White-headed babbler,Turdoides leucocephala
White-headed barbet,Lybius leucocephalus
White-headed brushfinch,Atlapetes albiceps
White-headed buffalo weaver,Ploceus weynsi
White-headed buffalo weaver,D. dinemelli
White-headed buffalo weaver,Dinemellia dinemelli
White-headed bulbul,Hypsipetes thompsoni
White-headed duck,Oxyura leucocephala
White-headed fruit dove,Ptilinopus eugeniae
White-headed marsh tyrant,Arundinicola leucocephala
White-headed mousebird,Colius leucocephalus
White-headed munia,Lonchura maja
White-headed petrel,Pterodroma lessonii
White-headed pigeon,Columba leucomela
White-headed robin-chat,Cossypha heinrichi
White-headed saw-wing,Psalidoprocne albiceps
White-headed starling,Sturnia erythropygia
White-headed vanga,Artamella viridis
White-headed vulture,Trigonoceps occipitalis
White-headed wood hoopoe,Phoeniculus bollei
White-headed woodpecker,Leuconotopicus albolarvatus
White-headed wren,Campylorhynchus albobrunneus
White-hooded babbler,Gampsorhynchus rufulus
White-lined antbird,Myrmoborus lophotes
White-lined honeyeater,Territornis albilineata
White-lined tanager,Tachyphonus rufus
White-lored antpitta,Myrmothera fulviventris
White-lored euphonia,Euphonia chrysopasta
White-lored gnatcatcher,Polioptila albiloris
White-lored oriole,Oriolus albiloris
White-lored spinetail,Synallaxis albilora
White-lored tyrannulet,Ornithion inerme
White-lored warbler,Myiothlypis conspicillata
White-mantled barbet,Capito hypoleucus
White-mantled kingfisher,Todiramphus albonotatus
White-masked antbird,Pithys castaneus
White-naped brushfinch,Atlapetes albinucha
White-naped crane,Antigone vipio
White-naped honeyeater,Melithreptus lunatus
White-naped jay,Cyanocorax cyanopogon
White-naped lory,Lorius albidinucha
White-naped monarch,Carterornis pileatus
White-naped pigeon,Columba albinucha
White-naped seedeater,Sporophila fringilloides
White-naped swift,Streptoprocne semicollaris
White-naped tit,Machlolophus nuchalis
White-naped woodpecker,Chrysocolaptes festivus
White-naped xenopsaris,needs  IPA
White-naped xenopsaris,Xenopsaris albinucha
White-naped yuhina,Yuhina bakeri
White-necked babbler,Stachyris leucotis
White-necked coucal,Centropus ateralbus
White-necked crow,Corvus leucognaphalus
White-necked hawk,Buteogallus lacernulatus
White-necked heron,Ardea pacifica
White-necked jacobin,Florisuga mellivora
White-necked laughingthrush,Garrulax strepitans
White-necked myna,Streptocitta albicollis
White-necked petrel,Pterodroma cervicalis
White-necked puffbird,Notharchus hyperrhynchus
White-necked raven,Corvus albicollis
White-necked rockfowl,Picathartes gymnocephalus
White-necked thrush,Turdus albicollis
White-necklaced partridge,Arborophila gingica
White-plumed antbird,Pithys albifrons
White-plumed honeyeater,Ptilotula penicillata
White-quilled rock pigeon,Petrophassa albipennis
White-rimmed brushfinch,Atlapetes leucopis
White-rimmed warbler,Myiothlypis leucoblephara
White-ringed flycatcher,Conopias albovittatus
White-ruffed manakin,Corapipo altera
White-rumped babbler,Turdoides leucopygia
White-rumped cuckooshrike,Coracina leucopygia
White-rumped falcon,Polihierax insignis
White-rumped falcon,Neohierax insignis
White-rumped hawk,Parabuteo leucorrhous
White-rumped kingfisher,Caridonax fulgidus
White-rumped monjita,Xolmis velatus
White-rumped munia,Lonchura striata
White-rumped robin,Peneothello bimaculata
White-rumped sandpiper,Calidris fuscicollis
White-rumped seedeater,Crithagra leucopygia
White-rumped shama,Copsychus malabaricus
White-rumped sirystes,Sirystes albocinereus
White-rumped snowfinch,Onychostruthus taczanowskii
White-rumped spinetail,Zoonavena sylvatica
White-rumped swallow,Tachycineta leucorrhoa
White-rumped swift,Apus caffer
White-rumped swiftlet,Aerodramus spodiopygius
White-rumped tanager,Cypsnagra hirundinacea
White-rumped triller,Lalage leucopygialis
White-rumped vulture,Gyps bengalensis
White-shouldered antbird,Akletos melanoceps
White-shouldered antshrike,Thamnophilus aethiops
White-shouldered black tit,Melaniparus guineensis
White-shouldered fairywren,Malurus alboscapulatus
White-shouldered fire-eye,Pyriglena leucoptera
White-shouldered ibis,Pseudibis davisoni
White-shouldered starling,Sturnia sinensis
White-shouldered tanager,Loriotus luctuosus
White-shouldered triller,Lalage sueurii
White-sided flowerpiercer,Diglossa albilatera
White-sided hillstar,Oreotrochilus leucopleurus
White-speckled laughingthrush,Ianthocincla bieti
White-spectacled bulbul,Pycnonotus xanthopygos
White-spectacled warbler,Phylloscopus intermedius
White-spotted fantail,Rhipidura albogularis
White-spotted flufftail,Sarothrura pulchra
White-spotted mannikin,Mayrimunia leucosticta
White-spotted wattle-eye,Platysteira tonsa
White-spotted woodpecker,Veniliornis spilogaster
White-starred robin,Pogonocichla stellata
White-streaked antvireo,Dysithamnus leucostictus
White-streaked friarbird,Melitograis gilolensis
White-streaked honeyeater,Trichodere cockerelli
White-striped forest rail,Rallicula leucospila
White-striped warbler,Myiothlypis leucophrys
White-striped woodcreeper,Lepidocolaptes leucogaster
White-tailed alethe,Alethe diademata
White-tailed ant thrush,Neocossyphus poensis
White-tailed blue flycatcher,Elminia albicauda
White-tailed cotinga,Xipholena lamellipennis
White-tailed crested flycatcher,Elminia albonotata
White-tailed eagle,Haliaeetus albicilla
White-tailed emerald,Microchera chionura
White-tailed flycatcher,Cyornis concretus
White-tailed flycatcher,Leucoptilon concretum
White-tailed goldenthroat,Polytmus guainumbi
White-tailed hawk,Geranoaetus albicaudatus
White-tailed hummingbird,Eupherusa poliocerca
White-tailed jay,Cyanocorax mystacalis
White-tailed kite,Elanus leucurus
White-tailed lapwing,Vanellus leucurus
White-tailed lark,Mirafra albicauda
White-tailed nightjar,Hydropsalis cayennensis
White-tailed nuthatch,Sitta himalayensis
White-tailed ptarmigan,Lagopus leucura
White-tailed robin,Myiomela leucura
White-tailed sabrewing,Campylopterus ensipennis
White-tailed shrike,Lanioturdus torquatus
White-tailed shrike-tyrant,Agriornis albicauda
White-tailed starfrontlet,Coeligena phalerata
White-tailed stonechat,Saxicola leucurus
White-tailed swallow,Hirundo megaensis
White-tailed trogon,Trogon chionurus
White-tailed tropicbird,Phaethon lepturus
White-tailed tyrannulet,Mecocerculus poecilocercus
White-tailed warbler,Poliolais lopezi
White-thighed hornbill,Bycanistes albotibialis
White-thighed swallow,Atticora tibialis
White-throated antbird,Oneillornis salvini
White-throated antpitta,Grallaria albigula
White-throated babbler,Argya gularis
White-throated barbtail,Premnoplex tatei
White-throated bee-eater,Merops albicollis
White-throated bulbul,Alophoixus flaveolus
White-throated bush chat,Saxicola insignis
White-throated bushtit,Aegithalos niveogularis
White-throated cacholote,Pseudoseisura gutturalis
White-throated canary,Crithagra albogularis
White-throated caracara,Phalcoboenus albogularis
White-throated crake,Laterallus albigularis
White-throated daggerbill,Schistes albogularis
White-throated dipper,Cinclus cinclus
White-throated earthcreeper,Upucerthia albigula
White-throated fantail,Rhipidura albicollis
White-throated flycatcher,Empidonax albigularis
White-throated francolin,Campocolinus albogularis
White-throated gerygone,Gerygone olivacea
White-throated grasswren,Amytornis woodwardi
White-throated greenbul,Phyllastrephus albigularis
White-throated ground dove,Pampusana xanthonura
White-throated ground dove,Alopecoenas xanthonurus
White-throated hawk,Buteo albigula
White-throated honeyeater,Melithreptus albogularis
White-throated hummingbird,Leucochloris albicollis
White-throated jacamar,Brachygalba albogularis
White-throated jay,Cyanolyca mirabilis
White-throated jungle flycatcher,Vauriella albigularis
White-throated kingbird,Tyrannus albogularis
White-throated kingfisher,Halcyon smyrnensis
White-throated laughingthrush,Pterorhinus albogularis
White-throated magpie-jay,Calocitta formosa
White-throated manakin,Corapipo gutturalis
White-throated mountain babbler,Turdoides gilberti
White-throated mountaingem,Lampornis castaneoventris
White-throated needletail,Hirundapus caudacutus
White-throated nightjar,Eurostopodus mystacalis
White-throated oxylabes,Oxylabes madagascariensis
White-throated pewee,Contopus albogularis
White-throated quail-dove,Zentrygon frenata
White-throated rail,Dryolimnas cuvieri
White-throated redstart,Phoenicurus schisticeps
White-throated robin,Irania gutturalis
White-throated robin-chat,Dessonornis humeralis
White-throated rock thrush,Monticola gularis
White-throated screech owl,Megascops albogularis
White-throated seedeater,Sporophila albogularis
White-throated shrike-tanager,Lanio leucothorax
White-throated sierra finch,Idiopsar erythronotus
White-throated spadebill,Platyrinchus mystaceus
White-throated sparrow,Zonotrichia albicollis
White-throated swallow,Hirundo albigularis
White-throated swift,Aeronautes saxatalis
White-throated tapaculo,Scelorchilus albicollis
White-throated thrush,Turdus assimilis
White-throated tinamou,Tinamus guttatus
White-throated toucan,Ramphastos tucanus
White-throated toucanet,Aulacorhynchus albivitta
White-throated towhee,Melozone albicollis
White-throated treecreeper,Cormobates leucophaea
White-throated treerunner,Pygarrhichas albogularis
White-throated tyrannulet,Mecocerculus leucophrys
White-throated woodcreeper,Xiphocolaptes albicollis
White-throated woodpecker,Piculus leucolaemus
White-throated wren-babbler,Napothera pasquieri
White-throated xenops,Xenops minutus
White-tipped dove,Leptotila verreauxi
White-tipped plantcutter,Phytotoma rutila
White-tipped quetzal,Pharomachrus fulgidus
White-tipped sicklebill,Eutoxeres aquila
White-tipped swift,Aeronautes montivagus
White-tufted grebe,Rollandia rolland
White-tufted sunbeam,Aglaeactis castelnaudii
White-vented euphonia,Euphonia minuta
White-vented plumeleteer,Chalybura buffonii
White-vented shama,Copsychus niger
White-vented violetear,Colibri serrirostris
White-vented whistler,Pachycephala homeyeri
White-wedged piculet,Picumnus albosquamatus
White-whiskered hermit,Phaethornis yaruqui
White-whiskered laughingthrush,Trochalopteron morrisonianum
White-whiskered puffbird,Malacoptila panamensis
White-whiskered spinetail,Synallaxis candei
White-winged apalis,Apalis chariessa
White-winged becard,Pachyramphus polychopterus
White-winged black tit,Melaniparus leucomelas
White-winged black tyrant,Knipolegus aterrimus
White-winged brushfinch,Atlapetes leucopterus
White-winged chough,Corcorax melanorhamphos
White-winged cinclodes,Cinclodes atacamensis
White-winged cliff chat,Monticola semirufus
White-winged collared dove,Streptopelia reichenowi
White-winged coot,Fulica leucoptera
White-winged cotinga,Xipholena atropurpurea
White-winged cuckooshrike,Edolisoma ostentum
White-winged dove,Zenaida asiatica
White-winged duck,Asarcornis scutulata
White-winged fairywren,Malurus leucopterus
White-winged fantail,Rhipidura cockerelli
White-winged flufftail,Sarothrura ayresi
White-winged grosbeak,Mycerobas carnipes
White-winged guan,Penelope albipennis
White-winged lark,Alauda leucoptera
White-winged magpie,Urocissa whiteheadi
White-winged nightjar,Eleothreptus candicans
White-winged parakeet,Brotogeris versicolurus
White-winged potoo,Nyctibius leucopterus
White-winged robin,Peneothello sigillata
White-winged scoter,Melanitta deglandi
White-winged shrike-tanager,Lanio versicolor
White-winged snowfinch,Montifringilla nivalis
White-winged swallow,Tachycineta albiventer
White-winged swamp warbler,Bradypterus carpalis
White-winged tanager,Piranga leucoptera
White-winged tapaculo,Scytalopus krabbei
White-winged tern,Chlidonias leucopterus
White-winged triller,Lalage tricolor
White-winged warbler,Xenoligea montana
White-winged widowbird,E. albonotatus
White-winged widowbird,Ploceus weynsi
White-winged widowbird,Euplectes albonotatus
White-winged woodpecker,Dendrocopos leucopterus
Whitehead,Mohoua albicilla
Whitehead's broadbill,Calyptomena whiteheadi
Whitehead's spiderhunter,Arachnothera juliae
Whitehead's swiftlet,Aerodramus whiteheadi
Whitehead's trogon,Harpactes whiteheadi
Whooper swan,Cygnus cygnus
Whooping crane,Grus americana
Whooping motmot,Momotus subrufescens
Whyte's barbet,Stactolaema whytii
Whyte's double-collared sunbird,Cinnyris whytei
Wied's tyrant-manakin,Neopelma aurifrons
Wild turkey,Meleagris gallopavo
Wilkins's finch,Nesospiza wilkinsi
Willard's sooty boubou,Laniarius willardi
Willcocks's honeyguide,Indicator willcocksi
Willet,Tringa semipalmata
Williams's lark,Mirafra williamsi
Williamson's sapsucker,Sphyrapicus thyroideus
Willie wagtail,Rhipidura leucophrys
Willis's antbird,Cercomacroides laeta
Willow flycatcher,Empidonax traillii
Willow ptarmigan,Lagopus lagopus
Willow tit,Poecile montanus
Willow warbler,Phylloscopus trochilus
Wilson's bird-of-paradise,Diphyllodes respublica
Wilson's bird-of-paradise,Cicinnurus respublica
Wilson's indigobird,Vidua wilsoni
Wilson's phalarope,Phalaropus tricolor
Wilson's plover,Anarhynchus wilsonia
Wilson's plover,Charadrius wilsonia
Wilson's snipe,Gallinago delicata
Wilson's storm petrel,Oceanites oceanicus
Wilson's warbler,Cardellina pusilla
Winchell's kingfisher,Todiramphus winchelli
Winding cisticola,Cisticola marginatus
Wine-throated hummingbird,Selasphorus ellioti
Wing-banded antbird,Myrmornis torquata
Wing-banded wren,Microcerculus bambla
Wing-barred piprites,Piprites chloris
Wing-barred seedeater,Sporophila murallae
Wing-barred seedeater,Sporophila americana
Wing-snapping cisticola,Cisticola ayresii
Winifred's warbler,Scepomycter winifredae
Winter wren,Troglodytes hiemalis
Wire-crested thorntail,Discosura popelairii
Wire-tailed manakin,Pipra filicauda
Wire-tailed swallow,Hirundo smithii
Wompoo fruit dove,Ptilinopus magnificus
Wonga pigeon,Leucosarcia melanoleuca
Wood duck,Aix sponsa
Wood pipit,Anthus nyassae
Wood sandpiper,Tringa glareola
Wood snipe,Gallinago nemoricola
Wood stork,Mycteria americana
Wood thrush,Hylocichla mustelina
Wood warbler,Phylloscopus sibilatrix
Woodchat shrike,Lanius senator
Woodford's rail,Hypotaenidia woodfordi
Woodford's rail,Gallirallus woodfordi
Woodhouse's antpecker,Parmoptila woodhousei
Woodhouse's scrub jay,Aphelocoma
Woodland kingfisher,Halcyon senegalensis
Woodlark,Lullula arborea
Woodpecker finch,Camarhynchus pallidus
Woodwards's batis,Batis fratrum
Worm-eating warbler,Helmitheros vermivorum
Worthen's sparrow,Spizella wortheni
Wreathed hornbill,Rhyticeros undulatus
